question,answers,num_answers
What is your favorite holiday?,['one where I get to meet lots of different people.'],1
What was the most number of people you have ever met during a holiday?,['Hard to keep a count. Maybe 25.'],1
Which holiday was that?,['I think it was Australia'],1
Do you still talk to the people you met?,"[""Not really. The interactions are usually short-lived but it's fascinating to learn where people are coming from and what matters to them""]",1
what do you mean?,"['I think it\'s like a 6th sense, often seen as ""cold readings"" to people, but can be remarkably accurate. I once sat next to a man in a coffee and I felt a pain in my back. I asked the stranger if he had a pain. It turns out that he did in the exact spot, and said he pulled a muscle while dancing at a party. I had never met the man before and never saw him again.', ""Wow! That's interesting, borderline spooky"", 'There\'s this practice called ""Treasure Hunting"" that\'s kind of a fun game you play in a public place. There\'s a book called ""The Ultimate Treasure Hunt"" that talks about it. You use your creativity to imagine people you will meet, and you write down a description, then you associate them with a positive message or encouraging word. Maybe you saw a teenage boy in a red hat at the shopping mall in your imagination, then while at the mall, you may find someone who matches that description. You show that you have a message for him and that you have a message for a boy in a red hat. You then give him a message of kindness or whatever was on your heart. You have no idea, sometimes you meet someone who is having a really hard day, and it brings them to tears to have a stranger show them love.']",3
"So, do you do treasure hunting often?","[""I did more when I was in grad school (and had more time). I would usually go with friends. For a while I would go to the farmers market in Santa Cruz every week and try to feel if there is something I am supposed to tell a stranger. Usually, they are vague hope-filled messages, but it's weird when I blurt out something oddly specific."", 'Hi']",2
Any plans for the weekend?,['my friends are gonna visit me this weekend. we might go hiking!'],1
Should be very sunny! you?,"['Cool! very depressing plans ... stay home and work ð\x9f\x98\x9e I have a project deadline very close.', 'ð\x9f\x98\x90 hope you get your work done very soon! a bug free weekend!']",2
"Right, very anxious! where do you plan to go for a hike?",['I am going to Diablo!'],1
"Nice, where is that place? I haven't been there",['hours drive from here. still in bay area'],1
That's cool! How long is the hike?,"['Actually no idea, but it will take the entire day for that.', 'nice! sounds fun!', 'Hi!']",3
"Nothing much, how you doin?","[""I'm in New York this week for Thanksgiving. I'm squatting in the office today and I caught up with an old friend of mine :D""]",1
Oh wow! Sounds like fun! When was the last time you had seen this friend?,"['The last time in New York, back in June.', ""Ohh okay. I was going to say if it had been a long time maybe it'd be awkward..."", ""Haha, I guess if it's been a very long time there's almost too many life events to catch up on.. especially recently""]",3
Haha it's probably too much to go into at the moment. Let's just say life is an exciting experience. How about you?,"['Ahhh sounds exciting indeed! My life is pretty bland. I like routine, but sometimes I wish I had more time for adventures!']",1
"Saturday looks pretty good, shall we shoot for something in the morning?","['Hi!', 'hey']",2
is it raining pretty bad today?,"['yeah, can walk too far to see all the foodtruck options', ""surprising that the rain started early this year... I don't like them too much. They make days gloomy"", ""yeah but I think it's good to have some rainy days in bay area, it's pretty dry here ð\x9f\x98\x9b"", 'Where I grew up, we had lots of water trouble too...', ""yeah like wise, I've seen a pretty bad snowstorm when I was at my undergrad school, all flights canceled and traffics went down"", ""Haha... I don't think I can survive in that weather ever. Just the rains at 50 degrees make me want to sit in heated rroms""]",6
